Date,HR
1616664527,120
1624401362,32
1624401365,34
1624452042,59
1624452048,154
1624452054,98
1624452060,145
1624452066,59
1624452072,130
1624452078,167
1624452084,93
1624452090,73
1624452096,134
1624452102,29
1624452108,81
1624452111,69
1624452114,104
1624452117,34
1624452120,109
1624452126,139
1624452132,79
1624452138,58
1624452144,126
1624452150,169
1624452156,25
1624452162,72
1624452168,20
1624452174,64
1624452180,108
1624452186,89
1624452192,130
1624452198,52
1624452204,101
1624452210,178
1624452216,120
1624452222,156
1624452228,152
1624452234,146
1624452240,65
1624452249,150
1624452255,106
1624452261,37
1624452964,88
1624452967,135
1624453134,40
1624453137,88
1624453158,164
1624453161,87
1624453176,107
1624453179,88
1624453197,83
1624453200,109
1624453230,38
1624453233,55
1624453248,154
1624453251,122
1624453266,112
1624453269,171
1624453290,149
1624453293,91
1624453305,74
1624453308,121
1624453320,109
1624453323,82
1624453350,116
1624453353,142
1624453368,110
1624453371,136
1624453389,154
1624453392,140
1624453404,61
1624453407,30
1624453420,81
1624453423,102
1624453453,100
1624453456,104
1624453495,130
1624453498,77
1624453510,154
1624453513,158
1624453531,65
1624453534,79
1624453555,106
1624453558,92
1624453591,125
1624453594,91
1624453630,64
1624453633,81
1624453651,37
1624453654,149
