Date,TEMP
1616664325,36
1624452042,40
1624452048,37
1624452054,36
1624452060,37
1624452066,41
1624452072,40
1624452078,39
1624452084,34
1624452090,38
1624452096,39
1624452102,35
1624452108,33
1624452111,41
1624452114,33
1624452117,41
1624452120,43
1624452126,35
1624452132,33
1624452138,40
1624452144,35
1624452150,35
1624452156,40
1624452162,39
1624452168,34
1624452174,38
1624452180,37
1624452186,33
1624452192,40
1624452198,35
1624452204,43
1624452210,38
1624452216,34
1624452222,38
1624452228,41
1624452234,41
1624452240,35
1624452249,37
1624452255,40
1624452261,38
1624452280,42
1624452290,30
1624452341,36
1624452345,36
1624452373,20
1624452387,41
1624452568,25
1624452964,38
1624452967,30
1624452985,41
1624452999,41
1624453064,20
1624453081,41
1624453089,43
1624453114,43
1624453134,39
1624453137,33
1624453158,41
1624453161,32
1624453176,41
1624453179,30
1624453197,33
1624453200,33
1624453230,34
1624453233,34
1624453248,37
1624453251,32
1624453266,35
1624453269,35
1624453290,36
1624453293,33
1624453305,38
1624453308,36
1624453320,33
1624453323,33
1624453350,30
1624453353,32
1624453368,36
1624453371,31
1624453389,32
1624453392,31
1624453404,40
1624453407,32
1624453420,36
1624453423,38
1624453453,42
1624453456,31
1624453495,40
1624453498,33
1624453510,43
1624453513,38
1624453531,43
1624453534,42
1624453555,37
1624453558,35
1624453591,30
1624453594,41
1624453630,42
1624453633,43
1624453651,37
1624453654,35
1624453695,43
1624453722,25
